Epoch,Box_P,Box_R,Box_mAP50,Box_mAP50-95,Mask_P,Mask_R,Mask_mAP50,Mask_mAP50-95,Box_Loss,Seg_Loss,Cls_Loss,Dfl_Loss
1,0.78,0.307,0.335,0.18,0.674,0.157,0.14,0.0525,1.871,4.282,2.718,2.062
2,0.216,0.421,0.295,0.148,0.395,0.252,0.18,0.0687,1.874,4.188,2.624,2.093
3,0.85,0.332,0.409,0.274,0.829,0.31,0.333,0.162,1.839,4.131,2.541,2.054
4,0.829,0.356,0.416,0.269,0.754,0.316,0.297,0.138,1.785,4.085,2.472,2.012
5,0.647,0.443,0.441,0.293,0.646,0.366,0.353,0.174,1.762,4.076,2.417,1.974
6,0.631,0.454,0.455,0.31,0.637,0.369,0.369,0.182,1.702,3.967,2.332,1.921
7,0.688,0.434,0.468,0.326,0.653,0.403,0.389,0.201,1.673,3.956,2.297,1.906
8,0.666,0.476,0.492,0.351,0.616,0.423,0.395,0.215,1.643,3.874,2.225,1.893
9,0.677,0.473,0.501,0.342,0.643,0.4,0.401,0.206,1.615,3.845,2.19,1.859
10,0.7,0.49,0.517,0.377,0.644,0.416,0.413,0.226,1.587,3.803,2.15,1.851
11,0.721,0.469,0.514,0.362,0.662,0.387,0.388,0.204,1.557,3.791,2.104,1.824
12,0.563,0.498,0.548,0.392,0.681,0.418,0.411,0.215,1.56,3.755,2.084,1.822
13,0.704,0.514,0.538,0.383,0.646,0.458,0.42,0.226,1.513,3.703,2.034,1.793
14,0.546,0.524,0.559,0.401,0.766,0.419,0.433,0.238,1.51,3.719,2.013,1.776
15,0.6,0.546,0.567,0.404,0.54,0.458,0.436,0.233,1.496,3.677,1.989,1.764
16,0.599,0.547,0.571,0.398,0.531,0.444,0.432,0.236,1.466,3.651,1.951,1.739
17,0.585,0.524,0.563,0.413,0.532,0.459,0.443,0.24,1.471,3.627,1.96,1.754
18,0.782,0.504,0.579,0.412,0.734,0.463,0.468,0.252,1.45,3.606,1.912,1.738
19,0.645,0.557,0.599,0.435,0.589,0.456,0.473,0.25,1.433,3.554,1.876,1.718
20,0.584,0.559,0.583,0.423,0.581,0.434,0.449,0.237,1.428,3.546,1.881,1.715
21,0.59,0.536,0.597,0.433,0.727,0.464,0.473,0.247,1.399,3.552,1.819,1.684
22,0.601,0.552,0.595,0.439,0.53,0.466,0.464,0.251,1.398,3.531,1.84,1.687
23,0.675,0.519,0.589,0.432,0.727,0.444,0.442,0.235,1.375,3.517,1.782,1.667
24,0.588,0.597,0.607,0.442,0.556,0.474,0.473,0.255,1.384,3.496,1.788,1.676
25,0.579,0.576,0.602,0.449,0.532,0.477,0.467,0.251,1.353,3.472,1.758,1.654
26,0.675,0.568,0.61,0.448,0.748,0.457,0.462,0.248,1.357,3.466,1.728,1.656
27,0.596,0.563,0.601,0.448,0.551,0.479,0.474,0.257,1.345,3.448,1.725,1.652
28,0.585,0.618,0.623,0.461,0.578,0.472,0.47,0.253,1.332,3.431,1.705,1.636
29,0.567,0.605,0.619,0.456,0.562,0.471,0.473,0.248,1.318,3.419,1.684,1.628
30,0.591,0.616,0.64,0.464,0.577,0.478,0.487,0.259,1.322,3.417,1.682,1.625
31,0.589,0.628,0.628,0.462,0.569,0.47,0.476,0.257,1.295,3.373,1.655,1.612
32,0.608,0.613,0.621,0.46,0.591,0.476,0.491,0.261,1.296,3.376,1.635,1.605
33,0.615,0.633,0.648,0.478,0.609,0.469,0.49,0.26,1.278,3.366,1.617,1.594
34,0.637,0.63,0.653,0.477,0.605,0.483,0.486,0.259,1.274,3.352,1.598,1.592
35,0.654,0.615,0.649,0.476,0.58,0.486,0.494,0.263,1.258,3.311,1.585,1.581
36,0.637,0.633,0.653,0.482,0.613,0.49,0.502,0.263,1.252,3.302,1.569,1.58
37,0.619,0.629,0.652,0.478,0.588,0.489,0.491,0.264,1.232,3.31,1.543,1.562
38,0.616,0.639,0.651,0.48,0.599,0.503,0.502,0.267,1.237,3.29,1.535,1.555
39,0.616,0.633,0.649,0.476,0.571,0.483,0.488,0.26,1.217,3.267,1.499,1.541
40,0.62,0.648,0.647,0.476,0.58,0.479,0.48,0.26,1.214,3.247,1.503,1.543
41,0.648,0.639,0.655,0.486,0.621,0.481,0.493,0.261,1.225,3.203,1.467,1.677
42,0.638,0.635,0.647,0.483,0.567,0.497,0.491,0.257,1.191,3.139,1.398,1.646
43,0.653,0.633,0.661,0.488,0.583,0.495,0.492,0.263,1.154,3.12,1.381,1.627
44,0.668,0.662,0.691,0.504,0.592,0.488,0.497,0.264,1.141,3.119,1.347,1.608
45,0.615,0.688,0.678,0.502,0.571,0.506,0.502,0.264,1.133,3.092,1.32,1.596
46,0.66,0.663,0.685,0.511,0.592,0.489,0.502,0.263,1.109,3.06,1.285,1.584
47,0.672,0.646,0.679,0.509,0.595,0.5,0.507,0.267,1.086,3.017,1.248,1.574
48,0.656,0.667,0.698,0.519,0.596,0.506,0.507,0.269,1.084,3.014,1.231,1.563
49,0.678,0.673,0.703,0.525,0.589,0.509,0.509,0.271,1.061,3.002,1.229,1.553
50,0.664,0.652,0.686,0.513,0.609,0.502,0.511,0.269,1.067,2.986,1.201,1.548
