Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Instances,Size,Box_P,Box_R,Box_mAP50,Box_mAP50-95
1,3.58,2.191,3.577,2.398,125,640,0.172,0.205,0.00261,0.000715
2,4.9,2.164,3.317,2.37,77,640,0.779,0.0738,0.044,0.0141
3,4.93,2.106,3.24,2.323,119,640,0.623,0.134,0.105,0.0421
4,4.97,2.056,3.151,2.283,101,640,0.864,0.176,0.206,0.116
5,5.01,2.01,3.074,2.227,86,640,0.687,0.194,0.214,0.106
6,5.04,1.969,3.011,2.194,110,640,0.868,0.183,0.238,0.124
7,5.08,1.939,2.955,2.154,78,640,0.68,0.315,0.329,0.191
8,5.12,1.895,2.9,2.125,82,640,0.686,0.328,0.353,0.197
9,5.15,1.894,2.877,2.117,83,640,0.697,0.341,0.35,0.189
10,5.19,1.877,2.84,2.082,135,640,0.663,0.362,0.382,0.231
11,5.22,1.852,2.798,2.078,93,640,0.751,0.331,0.382,0.23
12,5.26,1.85,2.758,2.058,89,640,0.721,0.387,0.392,0.24
13,5.3,1.819,2.708,2.033,105,640,0.748,0.362,0.403,0.237
14,5.33,1.815,2.703,2.037,78,640,0.445,0.323,0.26,0.159
15,5.37,1.804,2.665,2.027,76,640,0.691,0.344,0.382,0.242
16,5.41,1.77,2.623,1.993,80,640,0.704,0.378,0.425,0.278
17,5.44,1.745,2.587,1.971,109,640,0.766,0.36,0.42,0.283
18,5.48,1.743,2.55,1.97,103,640,0.561,0.418,0.425,0.27
19,5.51,1.729,2.531,1.945,92,640,0.761,0.383,0.411,0.28
20,5.55,1.727,2.524,1.953,110,640,0.566,0.447,0.449,0.298
21,5.59,1.708,2.485,1.928,85,640,0.559,0.445,0.455,0.303
22,5.62,1.7,2.492,1.935,90,640,0.449,0.439,0.448,0.311
23,5.66,1.664,2.428,1.903,97,640,0.794,0.415,0.465,0.323
24,5.7,1.677,2.435,1.916,123,640,0.481,0.47,0.469,0.331
25,5.73,1.653,2.396,1.891,91,640,0.903,0.375,0.468,0.328
26,5.77,1.647,2.376,1.885,102,640,0.659,0.471,0.479,0.333
27,5.81,1.641,2.393,1.882,97,640,0.702,0.42,0.465,0.329
28,5.84,1.619,2.341,1.862,94,640,0.645,0.47,0.482,0.344
29,5.88,1.616,2.328,1.867,103,640,0.715,0.439,0.487,0.338
30,5.92,1.613,2.321,1.861,107,640,0.658,0.488,0.504,0.351
31,5.95,1.581,2.277,1.84,84,640,0.687,0.449,0.494,0.354
32,5.99,1.587,2.283,1.833,108,640,0.678,0.475,0.477,0.337
33,6.02,1.58,2.257,1.827,121,640,0.651,0.483,0.502,0.357
34,6.06,1.566,2.244,1.817,104,640,0.668,0.481,0.504,0.374
35,6.1,1.557,2.218,1.811,118,640,0.764,0.464,0.521,0.374
36,6.13,1.558,2.224,1.81,109,640,0.708,0.471,0.518,0.371
37,6.17,1.524,2.173,1.793,76,640,0.669,0.498,0.516,0.375
38,6.21,1.536,2.183,1.793,97,640,0.496,0.512,0.515,0.373
39,6.24,1.521,2.158,1.778,78,640,0.688,0.502,0.526,0.383
40,6.28,1.517,2.147,1.772,104,640,0.721,0.485,0.526,0.381
41,6.32,1.547,2.08,1.902,39,640,0.726,0.484,0.524,0.379
42,6.35,1.516,1.955,1.872,29,640,0.694,0.502,0.529,0.381
43,6.39,1.499,1.922,1.867,34,640,0.694,0.516,0.533,0.384
44,6.42,1.473,1.906,1.85,46,640,0.709,0.497,0.539,0.385
45,6.46,1.456,1.859,1.829,39,640,0.725,0.505,0.548,0.399
46,6.5,1.453,1.834,1.822,35,640,0.74,0.493,0.546,0.402
47,6.53,1.402,1.801,1.789,34,640,0.742,0.498,0.543,0.4
48,6.57,1.405,1.787,1.793,45,640,0.723,0.501,0.551,0.403
49,6.61,1.393,1.767,1.778,25,640,0.768,0.491,0.553,0.407
50,6.64,1.382,1.756,1.768,42,640,0.742,0.502,0.557,0.411
